mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;9.8.2021;1959,8;1963,2;1956,08;1961,65;0,09;3750219,45
XZAG;CBX;HRZB00ICBEX6;6.8.2021;1956,77;1959,8;1955,85;1959,8;0,13;2360383,91
XZAG;CBX;HRZB00ICBEX6;4.8.2021;1956,19;1964,06;1955,16;1957,25;0,2;2701941,24
XZAG;CBX;HRZB00ICBEX6;3.8.2021;1949,99;1955,32;1944,65;1953,4;0,21;2596090,05
XZAG;CBX;HRZB00ICBEX6;2.8.2021;1949,65;1959,58;1947,93;1949,27;0,05;6423048,9
XZAG;CBX;HRZB00ICBEX6;30.7.2021;1956,77;1958,68;1944,35;1948,31;-0,27;4037375,6
XZAG;CBX;HRZB00ICBEX6;29.7.2021;1935,06;1953,65;1934,55;1953,65;1,01;3765446,62
XZAG;CBX;HRZB00ICBEX6;28.7.2021;1930,3;1938,19;1929,59;1934,02;0,15;3157560,12
XZAG;CBX;HRZB00ICBEX6;27.7.2021;1930,16;1935,36;1929,42;1931,03;0,07;5872049,83
XZAG;CBX;HRZB00ICBEX6;26.7.2021;1931,43;1934,03;1927,57;1929,65;-0,07;4359755,26
XZAG;CBX;HRZB00ICBEX6;23.7.2021;1925,44;1930,92;1924,71;1930,92;0,28;3276262,33
XZAG;CBX;HRZB00ICBEX6;22.7.2021;1918,96;1925,44;1917,01;1925,44;0,36;3996874,14
XZAG;CBX;HRZB00ICBEX6;21.7.2021;1923,97;1924,96;1916,82;1918,48;-0,29;2914615,5
XZAG;CBX;HRZB00ICBEX6;20.7.2021;1915,14;1925,53;1915,14;1923,97;0,43;4515667,74
XZAG;CBX;HRZB00ICBEX6;19.7.2021;1933,27;1935,96;1914,38;1915,69;-0,96;5505149,28
XZAG;CBX;HRZB00ICBEX6;16.7.2021;1939,22;1939,22;1933,34;1934,31;-0,18;3316708,03
XZAG;CBX;HRZB00ICBEX6;15.7.2021;1939,68;1941,77;1932,36;1937,76;-0,1;4748656,83
XZAG;CBX;HRZB00ICBEX6;14.7.2021;1951,02;1953,62;1939,29;1939,79;-0,58;8249261,59
XZAG;CBX;HRZB00ICBEX6;13.7.2021;1958,38;1958,38;1948,02;1951,02;-0,38;6250733,9
XZAG;CBX;HRZB00ICBEX6;12.7.2021;1954,03;1958,38;1949,7;1958,38;0,22;3842614,09
XZAG;CBX;HRZB00ICBEX6;9.7.2021;1965,53;1970,55;1954,03;1954,03;-0,51;3695049,46
XZAG;CBX;HRZB00ICBEX6;8.7.2021;1971,02;1971,02;1962,28;1964,13;-0,28;2392049,72
XZAG;CBX;HRZB00ICBEX6;7.7.2021;1963,26;1970,81;1963,26;1969,68;0,45;2333603,37
XZAG;CBX;HRZB00ICBEX6;6.7.2021;1967,75;1971,56;1960,86;1960,88;-0,35;9224024,87
XZAG;CBX;HRZB00ICBEX6;5.7.2021;1970,32;1970,78;1962,87;1967,75;-0,13;2948055,75
XZAG;CBX;HRZB00ICBEX6;2.7.2021;1971,32;1976,31;1968,98;1970,32;-0,05;1768730,67
XZAG;CBX;HRZB00ICBEX6;1.7.2021;1982,71;1982,71;1958,28;1971,32;-0,46;7534773,84
XZAG;CBX;HRZB00ICBEX6;30.6.2021;1995,51;1998,05;1980,49;1980,49;-0,78;3704148,32
XZAG;CBX;HRZB00ICBEX6;29.6.2021;2001,56;2002,19;1991,03;1996,02;-0,28;3673793,52
XZAG;CBX;HRZB00ICBEX6;28.6.2021;2004,95;2006,35;1998,14;2001,56;-0,17;7052914,26
XZAG;CBX;HRZB00ICBEX6;25.6.2021;1998,59;2005,75;1993,12;2004,95;0,32;3666544,07
XZAG;CBX;HRZB00ICBEX6;24.6.2021;1988,65;1998,59;1988,65;1998,59;0,51;3668368,52
XZAG;CBX;HRZB00ICBEX6;23.6.2021;1981,15;1990,93;1981,04;1988,49;0,37;2732817,94
XZAG;CBX;HRZB00ICBEX6;21.6.2021;1991,66;1991,66;1980,79;1981,15;-0,56;3166526,42
XZAG;CBX;HRZB00ICBEX6;18.6.2021;1996,22;1996,22;1988,52;1992,28;-0,21;4039247
XZAG;CBX;HRZB00ICBEX6;17.6.2021;1993,1;2000,78;1988,99;1996,43;0,17;4795573,32
XZAG;CBX;HRZB00ICBEX6;16.6.2021;1974,21;1993,16;1974,21;1993,1;0,99;6490575,39
XZAG;CBX;HRZB00ICBEX6;15.6.2021;1965,82;1976,69;1962,88;1973,6;0,41;3139127,59
XZAG;CBX;HRZB00ICBEX6;14.6.2021;1968,82;1972,11;1964,36;1965,61;-0,16;4894355,4
XZAG;CBX;HRZB00ICBEX6;11.6.2021;1959,77;1971,26;1959,77;1968,82;0,46;4298718,17
XZAG;CBX;HRZB00ICBEX6;10.6.2021;1956,84;1962,49;1955,31;1959,77;0,09;4922090,37
XZAG;CBX;HRZB00ICBEX6;9.6.2021;1950,89;1958,88;1945,78;1958,03;0,43;3609729,38
XZAG;CBX;HRZB00ICBEX6;8.6.2021;1940,56;1949,56;1938,1;1949,56;0,37;3177034,77
