mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX10;HRZB00ICBE11;25.5.2021;1199,21;1201,22;1192,27;1195,19;-0,4;5711918,66
XZAG;CBX10;HRZB00ICBE11;24.5.2021;1200,98;1202,32;1194,5;1199,98;-0,08;3494341,56
XZAG;CBX10;HRZB00ICBE11;21.5.2021;1200,83;1205,16;1200,23;1200,98;0,01;1912309,44
XZAG;CBX10;HRZB00ICBE11;20.5.2021;1203,32;1203,6;1197,79;1200,83;-0,22;3962829,4
XZAG;CBX10;HRZB00ICBE11;19.5.2021;1206,33;1209,84;1203,09;1203,5;-0,31;6626319,02
XZAG;CBX10;HRZB00ICBE11;18.5.2021;1202,21;1209,6;1200,21;1207,28;0,42;5899886,66
XZAG;CBX10;HRZB00ICBE11;17.5.2021;1194,59;1203,68;1193,37;1202,21;0,7;7351990,48
XZAG;CBX10;HRZB00ICBE11;14.5.2021;1195,17;1199,12;1193,82;1193,82;-0,11;3735218,76
XZAG;CBX10;HRZB00ICBE11;13.5.2021;1201,28;1201,61;1193,04;1195,17;-0,51;4875556,4
XZAG;CBX10;HRZB00ICBE11;12.5.2021;1200,06;1207,03;1198,16;1201,28;0,1;5700261,32
XZAG;CBX10;HRZB00ICBE11;11.5.2021;1208,05;1208,05;1198,82;1200,06;-0,55;2680664,92
XZAG;CBX10;HRZB00ICBE11;10.5.2021;1194,07;1207,04;1194,07;1206,73;1,06;8476044,76
XZAG;CBX10;HRZB00ICBE11;7.5.2021;1196,35;1196,79;1189,13;1194,07;-0,18;3885665,54
XZAG;CBX10;HRZB00ICBE11;6.5.2021;1191,92;1196,24;1191,04;1196,24;0,4;2433305,18
XZAG;CBX10;HRZB00ICBE11;5.5.2021;1189,19;1192,61;1184,33;1191,48;-0,02;6348086,32
XZAG;CBX10;HRZB00ICBE11;4.5.2021;1188;1195,06;1188;1191,71;0,35;4222639,74
XZAG;CBX10;HRZB00ICBE11;3.5.2021;1177,98;1187,56;1177,57;1187,56;0,82;7378689,52
XZAG;CBX10;HRZB00ICBE11;30.4.2021;1177,73;1178,42;1173,25;1177,94;0,02;5896047,7
XZAG;CBX10;HRZB00ICBE11;29.4.2021;1173,08;1178,3;1171,5;1177,76;0,35;7472295,4
XZAG;CBX10;HRZB00ICBE11;28.4.2021;1176,57;1178,85;1173,64;1173,71;-0,35;7230471,74
XZAG;CBX10;HRZB00ICBE11;27.4.2021;1178,65;1179,62;1172,97;1177,83;-0,03;1188098,5
XZAG;CBX10;HRZB00ICBE11;26.4.2021;1175,68;1178,19;1172,81;1178,19;0,37;1753575,44
XZAG;CBX10;HRZB00ICBE11;23.4.2021;1173,8;1175,06;1170,62;1173,79;0,01;3937858,3
XZAG;CBX10;HRZB00ICBE11;22.4.2021;1171,8;1175,53;1171,8;1173,71;0,16;4782263,2
XZAG;CBX10;HRZB00ICBE11;21.4.2021;1175,16;1175,16;1170,82;1171,8;-0,28;2722258,16
XZAG;CBX10;HRZB00ICBE11;20.4.2021;1177,83;1178,62;1171,78;1175,07;-0,23;3957071,1
XZAG;CBX10;HRZB00ICBE11;19.4.2021;1176,35;1178,55;1174,01;1177,83;0,13;2230605,9
XZAG;CBX10;HRZB00ICBE11;16.4.2021;1178,94;1178,94;1175,07;1176,35;-0,28;2813006,78
XZAG;CBX10;HRZB00ICBE11;15.4.2021;1181,75;1182,98;1178,9;1179,71;-0,17;2392543,76
XZAG;CBX10;HRZB00ICBE11;14.4.2021;1182,67;1184,73;1178,33;1181,75;-0,08;2925134,58
XZAG;CBX10;HRZB00ICBE11;13.4.2021;1181,17;1184,21;1180,03;1182,67;0,07;1917675,32
XZAG;CBX10;HRZB00ICBE11;12.4.2021;1184,43;1185,29;1176,95;1181,8;-0,28;2454209,86
XZAG;CBX10;HRZB00ICBE11;9.4.2021;1184,93;1186,05;1181,94;1185,06;-0,07;2198599,06
XZAG;CBX10;HRZB00ICBE11;8.4.2021;1183,39;1187,23;1179,79;1185,88;0,21;4033173,82
XZAG;CBX10;HRZB00ICBE11;7.4.2021;1177,76;1184,39;1177,76;1183,39;0,48;1918380,5
XZAG;CBX10;HRZB00ICBE11;6.4.2021;1178,46;1184,26;1176,41;1177,76;-0,17;2645527,56
XZAG;CBX10;HRZB00ICBE11;1.4.2021;1177,04;1182,27;1176,27;1179,78;0,23;3125657,44
XZAG;CBX10;HRZB00ICBE11;31.3.2021;1170,48;1178,09;1170,48;1177,04;0,56;4468061,56
XZAG;CBX10;HRZB00ICBE11;30.3.2021;1158,01;1170,98;1158,01;1170,48;1,08;3693524,36
XZAG;CBX10;HRZB00ICBE11;29.3.2021;1153,75;1161,72;1151,98;1158,01;0,29;2540318,82
XZAG;CBX10;HRZB00ICBE11;26.3.2021;1155,33;1157,78;1149,49;1154,63;-0,06;4911859,54
XZAG;CBX10;HRZB00ICBE11;25.3.2021;1162;1163,73;1155;1155,33;-0,57;4043382,84
XZAG;CBX10;HRZB00ICBE11;24.3.2021;1168,2;1168,34;1159,22;1161,91;-0,54;2122039,98
XZAG;CBX10;HRZB00ICBE11;23.3.2021;1163,56;1168,2;1160,27;1168,2;0,4;2616317,38
XZAG;CBX10;HRZB00ICBE11;22.3.2021;1164,49;1164,6;1154,43;1163,56;-0,08;3229369,4
XZAG;CBX10;HRZB00ICBE11;19.3.2021;1164,29;1165,32;1154,9;1164,45;0,06;4406155,74
XZAG;CBX10;HRZB00ICBE11;18.3.2021;1172,04;1173,28;1163,7;1163,7;-0,71;3205797,08
XZAG;CBX10;HRZB00ICBE11;17.3.2021;1181,61;1181,71;1172,04;1172,04;-0,68;1852773,04
XZAG;CBX10;HRZB00ICBE11;16.3.2021;1182,48;1187,29;1177,03;1180,05;-0,24;3089056,64
XZAG;CBX10;HRZB00ICBE11;15.3.2021;1179,04;1186,64;1179,04;1182,93;0,28;2998866,18
XZAG;CBX10;HRZB00ICBE11;12.3.2021;1164,86;1181,25;1163,55;1179,63;1,17;6913766,32
XZAG;CBX10;HRZB00ICBE11;11.3.2021;1163,08;1166,14;1160,65;1166,04;0,25;4845614,52
XZAG;CBX10;HRZB00ICBE11;10.3.2021;1159,34;1163,54;1155,12;1163,08;0,19;5121870,14
XZAG;CBX10;HRZB00ICBE11;9.3.2021;1150,19;1160,9;1146,36;1160,9;0,93;7019809,24
XZAG;CBX10;HRZB00ICBE11;8.3.2021;1139,62;1150,19;1139,62;1150,19;0,93;3089850,8
XZAG;CBX10;HRZB00ICBE11;5.3.2021;1146,37;1146,37;1137,26;1139,62;-0,52;4152108,84
XZAG;CBX10;HRZB00ICBE11;4.3.2021;1146,44;1150,52;1145,06;1145,53;-0,07;2583384,8
XZAG;CBX10;HRZB00ICBE11;3.3.2021;1145,61;1148,73;1141,87;1146,35;0,06;2671374,4
XZAG;CBX10;HRZB00ICBE11;2.3.2021;1136,81;1148,39;1136,81;1145,61;0,81;2420279,32
XZAG;CBX10;HRZB00ICBE11;1.3.2021;1132,58;1137,36;1132,1;1136,37;0,34;1584212
XZAG;CBX10;HRZB00ICBE11;26.2.2021;1139,97;1140,66;1132,54;1132,54;-0,57;2680200,38
